event_hour,user_count,hour_index,is_anomaly,was_tagged_as_anomaly
2024-03-12 19:00:00,4803,426,0,0
2024-03-12 20:00:00,4787,427,0,0
2024-03-12 21:00:00,4575,428,0,0
2024-03-12 22:00:00,3927,429,0,0
2024-03-12 23:00:00,3025,430,0,0
2024-03-13 00:00:00,3506,431,0,0
2024-03-13 01:00:00,2358,432,0,0
2024-03-13 02:00:00,2176,433,0,0
2024-03-13 03:00:00,2004,434,0,0
2024-03-13 04:00:00,2050,435,0,0
2024-03-13 05:00:00,2064,436,0,0
2024-03-13 06:00:00,2562,437,0,0
2024-03-13 07:00:00,2766,438,0,0
2024-03-13 08:00:00,3322,439,0,0
2024-03-13 09:00:00,4295,440,0,0
2024-03-13 10:00:00,5097,441,0,0
2024-03-13 11:00:00,5509,442,0,0
2024-03-13 12:00:00,5217,443,0,0
2024-03-13 13:00:00,5328,444,0,0
2024-03-13 14:00:00,5227,445,0,0
2024-03-13 15:00:00,5333,446,0,0
2024-03-13 16:00:00,5167,447,0,0
2024-03-13 17:00:00,4911,448,0,0
2024-03-13 18:00:00,4699,449,0,0
2024-03-13 19:00:00,4364,450,0,0
2024-03-13 20:00:00,4560,451,0,0
2024-03-13 21:00:00,4720,452,0,0
2024-03-13 22:00:00,4122,453,0,0
2024-03-13 23:00:00,2588,454,0,0
2024-03-14 00:00:00,3275,455,0,0
2024-03-14 01:00:00,2383,456,0,0
2024-03-14 02:00:00,2038,457,0,0
2024-03-14 03:00:00,1877,458,0,0
2024-03-14 04:00:00,1843,459,0,0
2024-03-14 05:00:00,2165,460,0,0
2024-03-14 06:00:00,2373,461,0,0
2024-03-14 07:00:00,2997,462,0,0
2024-03-14 08:00:00,5299,463,0,0
2024-03-14 09:00:00,6300,464,0,0
2024-03-14 10:00:00,6337,465,0,0
2024-03-14 11:00:00,6742,466,0,0
2024-03-14 12:00:00,6816,467,0,0
2024-03-14 13:00:00,5833,468,0,0
2024-03-14 14:00:00,5777,469,0,0
2024-03-14 15:00:00,5743,470,0,0
2024-03-14 16:00:00,5621,471,0,0
2024-03-14 17:00:00,5176,472,0,0
2024-03-14 18:00:00,4771,473,0,0
2024-03-14 19:00:00,4377,474,0,0
2024-03-14 20:00:00,4583,475,0,0
2024-03-14 21:00:00,4876,476,0,0
2024-03-14 22:00:00,4064,477,0,0
2024-03-14 23:00:00,2740,478,0,0
2024-03-15 00:00:00,3235,479,0,0
2024-03-15 01:00:00,2316,480,0,0
2024-03-15 02:00:00,2188,481,0,0
